lat,lon,stop,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
35.4592765,139.6080628,0,
